Team,Distance
Atlanta Hawks,1147398.001706932
Boston Celtics,1199556.6383372645
New Orleans Pelicans,1091598.8235528234
Chicago Bulls,1178913.520768973
Dallas Mavericks,1084454.8127703462
Denver Nuggets,1079413.9476389403
Houston Rockets,1075473.6153710408
Los Angeles Clippers,1019136.8396033652
Los Angeles Lakers,996123.0959096825
Miami Heat,1112837.737122877
Milwaukee Bucks,1185365.4293087327
Minnesota Timberwolves,1021423.160983799
Brooklyn Nets,1191297.9396368084
New York Knicks,1192685.1709177606
Orlando Magic,1124244.6227028957
Indiana Pacers,1173522.7843683208
Philadelphia 76ers,1188041.4521489632
Phoenix Suns,1022438.3830180641
Portland Trail Blazers,1022309.1445889766
Sacramento Kings,1002232.5639999028
San Antonio Spurs,1063347.249000853
Oklahoma City Thunder,1089402.4384516028
Toronto Raptors,1203185.9629725518
Utah Jazz,1054529.271254152
Memphis Grizzlies,1112044.0995210272
Washington Wizards,1180254.0090607163
Detroit Pistons,1188136.7197910678
Charlotte Hornets,1158842.5952863342
Cleveland Cavaliers,1188075.7400646568
Golden State Warriors,990100.0677237045
