Team,Conference,Division
Atlanta Hawks,Eastern,Southeast
Boston Celtics,Eastern,Atlantic
New Orleans Pelicans,Western,Southwest
Chicago Bulls,Eastern,Central
Dallas Mavericks,Western,Southwest
Denver Nuggets,Western,Northwest
Houston Rockets,Western,Southwest
Los Angeles Clippers,Western,Pacific
Los Angeles Lakers,Western,Pacific
Miami Heat,Eastern,Southeast
Milwaukee Bucks,Eastern,Central
Minnesota Timberwolves,Western,Northwest
Brooklyn Nets,Eastern,Atlantic
New York Knicks,Eastern,Atlantic
Orlando Magic,Eastern,Southeast
Indiana Pacers,Eastern,Central
Philadelphia 76ers,Eastern,Atlantic
Phoenix Suns,Western,Pacific
Portland Trail Blazers,Western,Northwest
Sacramento Kings,Western,Pacific
San Antonio Spurs,Western,Southwest
Oklahoma City Thunder,Western,Northwest
Toronto Raptors,Eastern,Atlantic
Utah Jazz,Western,Northwest
Memphis Grizzlies,Western,Southwest
Washington Wizards,Eastern,Southeast
Detroit Pistons,Eastern,Central
Charlotte Hornets,Eastern,Southeast
Cleveland Cavaliers,Eastern,Central
Golden State Warriors,Western,Pacific
